Year_Code,Fiscal_Period,Month_Name,Revenue_kMU,Adj_EBITDA_kMU,Adj_EBITDA_Margin_Pct
FYA,1,Jan,15022.5326,2660.7157,0.1771
FYA,2,Feb,17021.8147,3283.0057,0.1929
FYA,3,Mar,19317.5267,3783.3402,0.1959
FYA,4,Apr,16052.697,3166.0214,0.1972
FYA,5,May,17264.196,3492.9694,0.2023
FYA,6,Jun,19507.6278,3796.6566,0.1946
FYA,7,Jul,22513.9623,3817.1329,0.1695
FYA,8,Aug,13309.9828,1030.7438,0.1701
FYA,9,Sep,19033.8957,3696.3141,0.1942
FYA,10,Oct,15092.3133,2494.696,0.1653
FYA,11,Nov,12564.153,1915.1224,0.1524
FYA,12,Dec,16767.0359,2238.23,0.1335
FYB,1,Jan,14527.7312,2531.935,0.1743
FYB,2,Feb,17744.8972,3518.4163,0.1983
FYB,3,Mar,19571.6311,3888.8322,0.1987
FYB,4,Apr,16830.3803,3176.3215,0.1887
FYB,5,May,17051.8777,2913.4995,0.1709
FYB,6,Jun,15976.077,2360.9063,0.1478
FYB,7,Jul,14921.1516,2413.2722,0.1617
FYB,8,Aug,13309.9828,1898.3256,0.1426
FYB,9,Sep,17574.5154,3086.831,0.1756
FYB,10,Oct,12238.7657,1724.3979,0.1409
FYB,11,Nov,11443.8586,1483.9292,0.1297
FYB,12,Dec,14571.7363,2183.9888,0.1499
FYC,1,Jan,13569.5283,2490.0269,0.1835
FYC,2,Feb,14934.0449,3120.298,0.2089
